"","comm.rank..","file","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"76",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom313 PTAC DXCoil","Rated COP",3.781642497,2.6474,4.9166,"uniform","float",7,"",3.10124,4.46276
"77",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom314 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"78",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom315_318 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"79",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom319 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"80",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom320_323 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"81",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom324 PTAC DXCoil","Rated COP",3.803284597,2.66,4.94,"uniform","float",1,"",3.116,4.484
"82",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom401 PTAC DXCoil","Rated COP",3.654092443,2.5578,4.7502,"uniform","float",8,"",2.99628,4.31172
"83",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom402_405 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"84",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom406_408 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"85",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom409_412 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"86",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom413 PTAC DXCoil","Rated COP",3.658167518,2.5606,4.7554,"uniform","float",8,"",2.99956,4.31644
"87",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom414 PTAC DXCoil","Rated COP",3.684713369,2.5788,4.7892,"uniform","float",8,"",3.02088,4.34712
"88",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom415_418 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
"89",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom419 PTAC DXCoil","Rated COP",3.718316964,2.6026,4.8334,"uniform","float",8,"",3.04876,4.38724
"90",0,"11_SmallHotel.xml.csv","Coil:Cooling:DX:SingleSpeed","GuestRoom420_423 PTAC DXCoil","Rated COP",3.234477779,2.261,4.199,"uniform","float",3,"",2.6486,3.8114
