"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"55",0,"11_SmallHotel.xml.csv","Lights","EmployeeLoungeFlr1_Lights","Watts per Zone Floor Area",12.9,9.03,16.77,"uniform","float",1,"",10.578,15.222
"56",0,"11_SmallHotel.xml.csv","ElectricEquipment","EmployeeLoungeFlr1_PlugMisc_Equip","Watts per Zone Floor Area",77.16,54.012,100.308,"uniform","float",2,"",63.2712,91.0488
"57",0,"11_SmallHotel.xml.csv","ElectricEquipment","ExerciseCenterFlr1_PlugMisc_Equip","Watts per Zone Floor Area",11.5,8.05,14.95,"uniform","float",2,"",9.43,13.57
"58",0,"11_SmallHotel.xml.csv","ElectricEquipment","FrontLoungeFlr1_PlugMisc_Equip","Watts per Zone Floor Area",15.4,10.78,20.02,"uniform","float",2,"",12.628,18.172
"59",0,"11_SmallHotel.xml.csv","ElectricEquipment","FrontOfficeFlr1_PlugMisc_Equip","Watts per Zone Floor Area",12.9,9.03,16.77,"uniform","float",1,"",10.578,15.222
"60",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom101_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"61",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom102_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"62",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom103_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"63",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom104_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"64",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom105_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"65",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom201_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"66",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom202_205_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"67",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom206_208_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"68",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom209_212_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"69",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom213_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"70",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom214_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"71",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom215_218_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"72",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom219_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"73",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom220_223_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
