Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Fan:OnOff,PSZ-AC_4:4_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_4:4_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_5:5_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_5:5_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_5:5_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_6:6_Unitary_Package_fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:OnOff,PSZ-AC_6:6_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_6:6_Unitary_Package_fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_7:7_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_7:7_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_7:7_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_8:8_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_8:8_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_8:8_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:OnOff,PSZ-AC_9:9_Unitary_Package_fan,Fan Efficiency,0.53625,0.375375,0.697125,uniform,float,,
Fan:OnOff,PSZ-AC_9:9_Unitary_Package_fan,Pressure Rise,622,435.4,808.5,uniform,float,,
Fan:OnOff,PSZ-AC_9:9_Unitary_Package_fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
