Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
Coil:Cooling:DX:TwoSpeed,PSZ-AC:2_CoolC DXCoil,Rated High Speed COP,3.233720558,2.261,4.199,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:2_CoolC DXCoil,Rated Low Speed COP,3.281865281,2.296,4.264,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:3_CoolC DXCoil,Rated High Speed COP,3.300330385,2.31,4.29,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:3_CoolC DXCoil,Rated Low Speed COP,3.349466817,2.345,4.355,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:4_CoolC DXCoil,Rated High Speed COP,3.133805819,2.191,4.069,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:4_CoolC DXCoil,Rated Low Speed COP,3.180462978,2.226,4.134,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:5_CoolC DXCoil,Rated High Speed COP,3.233720558,2.261,4.199,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:5_CoolC DXCoil,Rated Low Speed COP,3.281865281,2.296,4.264,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:6_CoolC DXCoil,Rated High Speed COP,3.500159864,2.45,4.55,uniform,float,,
Coil:Cooling:DX:TwoSpeed,PSZ-AC:6_CoolC DXCoil,Rated Low Speed COP,3.552271425,2.485,4.615,uniform,float,,
Schedule:Compact,CLGSETP_SCH,Field 4,30,21,39,uniform,float,CA1,
Schedule:Compact,CLGSETP_SCH,Field 7,30,21,39,uniform,float,CA2,HA2 - CA2 < -1
Schedule:Compact,CLGSETP_SCH,Field 9,24,16.8,31.2,uniform,float,CA3,HA3 - CA3 < -1
Schedule:Compact,CLGSETP_SCH,Field 11,30,21,39,uniform,float,CA4,HA4 - CA4 < -1
Schedule:Compact,HTGSETP_SCH,Field 4,15.6,10.92,20.28,uniform,float,HA1,
Schedule:Compact,HTGSETP_SCH,Field 7,15.6,10.92,20.28,uniform,float,HA2,
Schedule:Compact,HTGSETP_SCH,Field 9,21,14.7,27.3,uniform,float,HA3,
