"","X","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"72",72,"Fan:ConstantVolume","FLR_3_DOAS_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",5,NA,510.04,733.96
"73",73,"Fan:ConstantVolume","FLR_6_DOAS_Fan","Fan Efficiency",0.53625,0.375375,0.697215,"uniform","float",5,NA,0.439743,0.632847
"74",74,"Fan:ConstantVolume","FLR_6_DOAS_Fan","Pressure Rise",622,435.4,808.6,"uniform","float",5,NA,510.04,733.96
"75",75,"Schedule:Compact","CLGSETP_SCH","Field 4",30,21,39,"uniform","float",6,NA,24.6,35.4
"76",76,"Schedule:Compact","CLGSETP_SCH","Field 6",24,16.8,31.2,"uniform","float",6,NA,19.68,28.32
"77",77,"Schedule:Compact","HTGSETP_SCH","Field 4",16,11.2,20.8,"uniform","float",6,NA,13.12,18.88
"78",78,"Schedule:Compact","HTGSETP_SCH","Field 6",21,14.7,27.3,"uniform","float",6,NA,17.22,24.78
"79",79,"Schedule:Compact","Corr_CLGSETP_SCH","Field 4",30,21,39,"uniform","float",6,NA,24.6,35.4
"80",80,"Schedule:Compact","Corr_HTGSETP_SCH","Field 4",16,11.2,20.8,"uniform","float",6,NA,13.12,18.88
"81",81,"Schedule:Compact","Guest_CLGSETP_SCH","Field 4",24,16.8,31.2,"uniform","float",6,NA,19.68,28.32
"82",82,"Schedule:Compact","Guest_HTGSETP_SCH","Field 4",21,14.7,27.3,"uniform","float",6,NA,17.22,24.78
"83",83,"Schedule:Compact","Kitchen_CLGSETP_SCH","Field 4",30,21,39,"uniform","float",6,NA,24.6,35.4
"84",84,"Schedule:Compact","Kitchen_CLGSETP_SCH","Field 6",26,18.2,33.8,"uniform","float",6,NA,21.32,30.68
"85",85,"Schedule:Compact","Kitchen_HTGSETP_SCH","Field 4",16,11.2,20.8,"uniform","float",6,NA,13.12,18.88
"86",86,"Schedule:Compact","Kitchen_HTGSETP_SCH","Field 6",19,13.3,24.7,"uniform","float",6,NA,15.58,22.42
"87",87,"Schedule:Compact","MinOA_Sched","Field 4",0,0,0.3,"exponential","float",6,NA,0.06,0.24
"88",88,"Schedule:Compact","MinOA_Sched","Field 6",1,0.7,1.3,"uniform","float",6,NA,0.82,1.18
"89",89,"Schedule:Compact","Seasonal-Reset-Supply-Air-Temp-Sch","Field 4",13,9.1,16.9,"uniform","float",6,NA,10.66,15.34
"90",90,"Boiler:HotWater","HeatSys1 Boiler","Nominal Thermal Efficiency",0.78,0.546,0.99,"uniform","float",7,NA,0.6348,0.9012
"91",91,"Boiler:HotWater","HeatSys1 Boiler","Design Water Outlet Temperature",82.2,57.54,106.86,"uniform","float",7,NA,67.404,96.996
"92",92,"Chiller:Electric:EIR","CoolSys1 Chiller 1","Reference COP",5.5,3.85,7.15,"uniform","float",8,NA,4.51,6.49
"93",93,"Chiller:Electric:EIR","CoolSys1 Chiller 1","Minimum Part Load Ratio",0.15,0.105,0.195,"uniform","float",8,NA,0.123,0.177
"94",94,"Chiller:Electric:EIR","CoolSys1 Chiller 2","Reference COP",5.5,3.85,7.15,"uniform","float",8,NA,4.51,6.49
"95",95,"Chiller:Electric:EIR","CoolSys1 Chiller 2","Minimum Part Load Ratio",0.15,0.105,0.195,"uniform","float",8,NA,0.123,0.177
"96",96,"Chiller:Electric:EIR","CoolSys1 Chiller 2","Maximum Part Load Ratio",1,0.7,1,"uniform","float",8,NA,0.76,0.94
"97",97,"Pump:VariableSpeed","CoolSys1 Pump","Rated Pump Head",179352,125546.4,233157.6,"uniform","float",9,NA,147068.64,211635.36
"98",98,"Pump:VariableSpeed","HeatSys1 Pump","Rated Pump Head",179352,125546.4,233157.6,"uniform","float",9,NA,147068.64,211635.36
"99",99,"Schedule:Compact","CW-Loop-Temp-Schedule","Field 4",6.7,4.69,8.71,"uniform","float",6,NA,5.494,7.906
"100",100,"Schedule:Compact","HW-Loop-Temp-Schedule","Field 4",60,42,78,"uniform","float",6,NA,49.2,70.8
"101",101,"WaterHeater:Mixed","SWHSys1 Water Heater","Tank Volume",2,1.4,2.6,"uniform","float",10,NA,1.64,2.36
"102",102,"WaterHeater:Mixed","SWHSys1 Water Heater","Heater Maximum Capacity",845000,591500,1098500,"uniform","float",10,NA,692900,997100
"103",103,"WaterHeater:Mixed","SWHSys1 Water Heater","Heater Thermal Efficiency",0.8,0.56,0.999,"uniform","float",10,NA,0.6478,0.9112
"104",104,"Pump:VariableSpeed","SWHSys1 Pump","Rated Pump Head",179352,125546.4,233157.6,"uniform","float",9,NA,147068.64,211635.36
"105",105,"Schedule:Compact","Guest Room Water Equipment Hot Supply Temp Sched","Field 4",43.3,30.1,55.9,"uniform","float",6,NA,35.26,50.74
"106",106,"Schedule:Compact","Guest Room Water Equipment Temp Sched","Field 4",43.3,30.1,55.9,"uniform","float",6,NA,35.26,50.74
"107",107,"Schedule:Compact","Kitchen Water Equipment Hot Supply Temp Sched","Field 4",49,34.3,63.7,"uniform","float",6,NA,40.18,57.82
"108",108,"Schedule:Compact","Kitchen Water Equipment Temp Sched","Field 4",49,34.3,63.7,"uniform","float",6,NA,40.18,57.82
"109",109,"Schedule:Compact","SWHSys1 Water Heater Setpoint Temperature Schedule Name","Field 4",60,42,78,"uniform","float",6,NA,49.2,70.8
"110",110,"Schedule:Compact","SWHSys1-Loop-Temp-Schedule","Field 4",60,42,78,"uniform","float",6,NA,49.2,70.8
