Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
ZoneInfiltration:DesignFlowRate,Bath_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Cafeteria_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Computer_Class_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corner_Class_1_Pod_1_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corner_Class_1_Pod_2_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corner_Class_1_Pod_3_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corner_Class_2_Pod_1_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corner_Class_2_Pod_2_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corner_Class_2_Pod_3_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corridor_Pod_1_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corridor_Pod_2_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Corridor_Pod_3_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Gym_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Kitchen_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Library_Media_Center_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Lobby_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Main_Corridor_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_1_Pod_1_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_1_Pod_2_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_1_Pod_3_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_2_Pod_1_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_2_Pod_2_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_2_Pod_2_ZN_1_FLR_1_Infiltration,Velocity Squared Term Coefficient,0,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Mult_Class_2_Pod_3_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
ZoneInfiltration:DesignFlowRate,Offices_ZN_1_FLR_1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0004,
Fan:ConstantVolume,PSZ-AC_1:6_Fan,Fan Efficiency,0.53625,0.375375,0.6971,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:6_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC_1:6_Fan,Motor Efficiency,0.825,0.5775,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:5_Fan,Fan Efficiency,0.546,0.3822,0.7098,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:5_Fan,Pressure Rise,622,435.4,808.6,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:5_Fan,Motor Efficiency,0.84,0.588,0.999,uniform,float,,
Fan:ConstantVolume,PSZ-AC_2:7_Fan,Fan Efficiency,0.56875,0.398125,0.739375,uniform,float,,
