Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
ElectricEquipment,GuestRoom213_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom214_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom215_218_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom219_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom220_223_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom224_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom301_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom302_305_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom306_308_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom309_312_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom314_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom315_318_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom319_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom320_323_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom324_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
